;destination;origin;product;import;export;label;month;year
338;NL;DE;407;10755245.0;7724977.0;0;3;2016
339;NL;DE;407;9748720.0;10891096.0;0;4;2016
340;NL;DE;407;9683318.0;8280540.0;0;5;2016
341;NL;DE;407;10326651.0;7020706.0;0;6;2016
342;NL;DE;407;10748794.0;9180769.0;0;7;2016
343;NL;DE;407;10065862.0;10422241.0;0;8;2016
344;NL;DE;407;11393439.0;10000319.0;0;9;2016
345;NL;DE;407;11906791.0;10289690.0;0;10;2016
346;NL;DE;407;12530414.0;8647283.0;0;11;2016
347;NL;DE;407;13599708.0;15328376.0;0;12;2016
348;NL;DE;407;11477777.0;9922578.0;0;1;2017
349;NL;DE;407;9505866.0;11892775.0;0;2;2017
350;NL;DE;407;10701653.0;9046843.0;0;3;2017
351;NL;DE;407;8752453.0;12261490.0;0;4;2017
352;NL;DE;407;11071426.0;10699647.0;0;5;2017
353;NL;DE;407;10504719.0;11269213.0;0;6;2017
354;NL;DE;407;8507534.0;7120279.0;0;7;2017
355;NL;DE;407;8840310.0;10431433.0;0;8;2017
356;NL;DE;407;10092992.0;10462303.0;0;9;2017
357;NL;DE;407;9366455.0;7503933.0;0;10;2017
358;NL;DE;407;9087206.0;7152436.0;0;11;2017
359;NL;DE;407;10123947.0;9277544.0;0;12;2017
360;NL;DE;407;10673345.0;7279260.0;0;1;2018
361;NL;DE;407;10882257.0;10356337.0;0;2;2018
362;NL;DE;407;13377348.0;10599954.0;0;3;2018
363;NL;DE;407;9177477.0;9925068.0;0;4;2018
364;NL;DE;407;10364628.0;8564417.0;0;5;2018
365;NL;DE;407;11120626.0;10323352.0;0;6;2018
366;NL;DE;407;9695272.0;8516676.0;0;7;2018
367;NL;DE;407;9589719.0;9442766.0;0;8;2018
368;NL;DE;407;10794947.0;8185252.0;0;9;2018
369;NL;DE;407;10905882.0;8971026.0;0;10;2018
370;NL;DE;407;12216073.0;8920800.0;0;11;2018
371;NL;DE;407;12301585.0;8157084.0;0;12;2018
372;NL;DE;407;11460038.0;11117139.0;0;1;2019
373;NL;DE;407;11371132.0;8677789.0;0;2;2019
374;NL;DE;407;13233583.0;9559073.0;0;3;2019
375;NL;DE;407;12103324.0;10040073.0;0;4;2019
376;NL;DE;407;10710502.0;9831392.0;0;5;2019
377;NL;DE;407;12783767.0;9892476.0;0;6;2019
378;NL;DE;407;11309057.0;8985983.0;0;7;2019
379;NL;DE;407;10538898.0;9931517.0;0;8;2019
380;NL;DE;407;11636045.0;10382965.0;0;9;2019
381;NL;DE;407;12341724.0;9051395.0;0;10;2019
382;NL;DE;407;13468461.0;9635459.0;0;11;2019
383;NL;DE;407;13361143.0;9201116.0;0;12;2019
384;NL;DE;407;12578596.0;9522267.0;0;1;2020
385;NL;DE;407;11707885.0;10347597.0;0;2;2020
386;NL;DE;407;14449263.0;9699513.0;0;3;2020
387;NL;DE;407;14377155.0;9617376.0;0;4;2020
388;NL;DE;407;11976272.0;10314160.0;0;5;2020
389;NL;DE;407;13722664.0;8810904.0;0;6;2020
390;NL;DE;407;14998043.0;7638859.0;0;7;2020
391;NL;DE;407;11652687.0;10459082.0;0;8;2020
392;NL;DE;407;13827003.0;10196603.0;0;9;2020
393;NL;DE;407;14140619.0;10882437.0;0;10;2020
394;NL;DE;407;12147472.0;10193646.0;0;11;2020
395;NL;DE;407;13479080.0;9703330.0;0;12;2020
396;NL;DE;408;571427.0;580743.0;0;1;2010
397;NL;DE;408;580551.0;403825.0;0;2;2010
398;NL;DE;408;612314.0;795160.0;0;3;2010
399;NL;DE;408;445280.0;207730.0;0;4;2010
400;NL;DE;408;292428.0;269736.0;0;5;2010
401;NL;DE;408;285545.0;292424.0;0;6;2010
402;NL;DE;408;309427.0;190587.0;0;7;2010
403;NL;DE;408;193816.0;233677.0;0;8;2010
404;NL;DE;408;445712.0;295628.0;0;9;2010
405;NL;DE;408;493671.0;182545.0;0;10;2010
406;NL;DE;408;580984.0;328597.0;0;11;2010
407;NL;DE;408;313533.0;249153.0;0;12;2010
408;NL;DE;408;462888.0;91577.0;0;1;2011
409;NL;DE;408;518988.0;593677.0;0;2;2011
410;NL;DE;408;331440.0;241202.0;0;3;2011
411;NL;DE;408;281455.0;98591.0;0;4;2011
412;NL;DE;408;439257.0;267691.0;0;5;2011
413;NL;DE;408;384041.0;474149.0;0;6;2011
414;NL;DE;408;389582.0;227760.0;0;7;2011
415;NL;DE;408;314409.0;192596.0;0;8;2011
416;NL;DE;408;403755.0;506796.0;0;9;2011
417;NL;DE;408;615152.0;489798.0;0;10;2011
418;NL;DE;408;389292.0;166108.0;0;11;2011
419;NL;DE;408;411744.0;727496.0;0;12;2011
420;NL;DE;408;269247.0;570120.0;0;1;2012
